department_name,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
Engineering Headquarters ,202.0,450.0,851.0,1132.0,2176.0,2678.0,3524.0,3803.0,4561.0,4772.0,4908.0,4725.0,4120.0,5374.0,9053.0,5714.0,4839.0,4240.0,5164.0,6750.0
Aeronautics,3418.0,3173.0,3647.0,3753.0,3712.0,4278.0,4397.0,4256.0,4194.0,5205.0,5755.0,6577.0,7770.0,9084.0,9588.0,9349.0,10646.0,10142.0,9715.0,10109.0
Bioengineering,1923.0,1652.0,1809.0,2266.0,2674.0,3088.0,3827.0,4058.0,4675.0,6083.0,7706.0,9490.0,11521.0,14455.0,15377.0,14640.0,15939.0,17260.0,19161.0,21867.0
Chemical Eng & Chemical Tech,7879.0,7717.0,6629.0,6848.0,7592.0,9452.0,12024.0,12336.0,12601.0,13100.0,15183.0,19153.0,19120.0,18262.0,19336.0,19298.0,20618.0,21079.0,19522.0,19885.0
Civil & Environmental Eng,6029.0,7852.0,6394.0,7696.0,7961.0,10442.0,9695.0,9999.0,10445.0,10827.0,11631.0,12893.0,12536.0,12255.0,12409.0,12663.0,14467.0,16451.0,16482.0,16954.0
Computing,7526.0,8730.0,8762.0,8985.0,10140.0,11067.0,11720.0,12995.0,11522.0,11648.0,14515.0,16193.0,16392.0,19165.0,16246.0,19017.0,20022.0,21918.0,20557.0,19106.0
Earth Science and Eng,4933.0,5267.0,5514.0,9278.0,17461.0,19309.0,9944.0,11613.0,12707.0,14618.0,15500.0,16565.0,14797.0,16319.0,15643.0,15218.0,15354.0,15075.0,14115.0,13380.0
Electrical & Electronic Eng,6691.0,7210.0,7587.0,8479.0,8500.0,10014.0,10392.0,10673.0,10068.0,12871.0,14708.0,16134.0,15369.0,15917.0,16405.0,16032.0,15484.0,16284.0,15809.0,16421.0
IC-Parc (Centre for Planning& Resource Control),829.0,1008.0,1106.0,1141.0,458.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Institute of Biomedical Eng,0.0,0.0,63.0,914.0,2022.0,3373.0,4629.0,4422.0,4689.0,481.0,133.0,25.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Materials,5160.0,5153.0,4484.0,4088.0,4537.0,7178.0,6334.0,8591.0,9472.0,9090.0,11187.0,14469.0,13709.0,16870.0,17558.0,16833.0,17083.0,19471.0,16671.0,19125.0
Mechanical Engineering,9765.0,9619.0,8684.0,8826.0,9609.0,10651.0,11321.0,12301.0,11920.0,13289.0,14182.0,15759.0,15875.0,18332.0,19372.0,19529.0,19828.0,21351.0,20764.0,21472.0
Life Sciences Headquarters,333.0,203.0,259.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Life Sciences,0.0,0.0,0.0,0.0,0.0,0.0,25422.0,26250.0,25929.0,25709.0,29067.0,28792.0,30884.0,31277.0,31641.0,32361.0,33183.0,35503.0,32320.0,32205.0
Agricultural Sciences,6928.0,7072.0,6992.0,7204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biological Sciences (Biology),22087.0,22547.0,22056.0,21816.0,9173.0,9165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomedical Services Unit,1249.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Environmental Science and Technology,4737.0,4992.0,4991.0,4627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
School of Medicine Central Division,4921.0,6335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomedical Sciences,8028.0,7942.0,7086.0,7358.0,6314.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cell and Molecular Biology,0.0,0.0,0.0,0.0,9252.0,9363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Molecular Biosciences,0.0,0.0,0.0,0.0,6044.0,6783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Centre for Environmental Policy,0.0,0.0,0.0,0.0,6460.0,6066.0,4324.0,5855.0,3977.0,3753.0,4121.0,4557.0,4524.0,4551.0,4986.0,5130.0,5505.0,5910.0,5937.0,5646.0
Natural Sciences Headquarters,0.0,0.0,0.0,0.0,2693.0,3289.0,4077.0,5766.0,6437.0,6310.0,3432.0,3189.0,2365.0,2885.0,3772.0,3101.0,3432.0,3405.0,3359.0,4045.0
Clinical Sciences ,867.0,2213.0,2439.0,2402.0,5805.0,5054.0,5316.0,6414.0,8362.0,8008.0,12361.0,7441.0,7376.0,8651.0,8723.0,8984.0,9299.0,10218.0,9393.0,10250.0
Investigative Science,18678.0,20542.0,21905.0,22021.0,23842.0,23824.0,27778.0,31873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kennedy Institute,5766.0,6189.0,6821.0,7151.0,8654.0,9844.0,10115.0,11255.0,10429.0,10407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Medicine (Department of medicine 2009 later) ,23671.0,24325.0,26356.0,27506.0,26970.0,33695.0,35121.0,35603.0,77985.0,73000.0,80612.0,76540.0,81726.0,87478.0,85654.0,85563.0,85219.0,83112.0,0.0,0.0
National Heart and Lung Institute (NHLI),25980.0,28014.0,31207.0,31842.0,31748.0,37269.0,37719.0,50655.0,47117.0,43905.0,45010.0,47343.0,44891.0,44364.0,42854.0,42377.0,41343.0,43319.0,44023.0,46858.0
Neurosciences and Psychological Medicine (Mental Health),13115.0,12866.0,11969.0,11654.0,11465.0,11580.0,12334.0,12389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Paediatrics, Obstetrics and Gynaecology",12254.0,12234.0,12500.0,14186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Primary Care and Population Health Sciences (EPHPC, School of Public Health)",8652.0,11370.0,13458.0,15859.0,15637.0,16199.0,20941.0,20484.0,22154.0,23155.0,29036.0,33910.0,38316.0,40059.0,46209.0,55754.0,55710.0,57534.0,58407.0,49354.0
"Surgery, Anaesthetics and Intensive Care",7455.0,8502.0,8856.0,9501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Department of Surgery & Cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35704.0,37021.0,40504.0,44331.0,46042.0,51223.0,51581.0,55602.0,56219.0,54060.0,38035.0,41316.0
"Surgery, Oncology, Reproductive Biology and Anaesthetics (SORBA,SORA)",0.0,0.0,0.0,0.0,23937.0,26854.0,29446.0,32235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faculty of Medicine Headquarters,0.0,0.0,7723.0,9239.0,12496.0,17171.0,21899.0,18961.0,17078.0,17761.0,19045.0,16118.0,16197.0,16443.0,14446.0,15490.0,18016.0,18352.0,15568.0,25585.0
Physical Sciences Headquarters,190.0,190.0,407.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chemistry,8887.0,9748.0,9770.0,9892.0,11554.0,11680.0,13902.0,13836.0,13701.0,14765.0,18142.0,20222.0,17625.0,18550.0,17666.0,17081.0,16178.0,18240.0,20342.0,21893.0
"CHOSTM (Centre for History of Science, Technology and Medicine)",394.0,429.0,456.0,480.0,503.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathematics,4328.0,5301.0,5298.0,5934.0,6580.0,7220.0,7355.0,8627.0,8578.0,8763.0,10925.0,13055.0,13368.0,14754.0,15626.0,16254.0,17561.0,17449.0,16997.0,17561.0
Physics,15978.0,17992.0,18830.0,19415.0,22257.0,22573.0,24226.0,27850.0,29307.0,30288.0,35095.0,35169.0,32183.0,34694.0,33443.0,34831.0,34233.0,35861.0,34329.0,33227.0
Institute for Mathematical Sciences,0.0,0.0,0.0,149.0,626.0,957.0,814.0,727.0,535.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grantham Inst. for Climate Change,0.0,0.0,0.0,0.0,0.0,171.0,469.0,1131.0,1819.0,1834.0,1823.0,1589.0,1409.0,1734.0,2291.0,3116.0,2862.0,3416.0,2629.0,3507.0
Institute for Security Sci. & Tech.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,296.0,368.0,374.0,514.0,511.0,548.0,730.0,734.0,699.0,746.0,659.0
Energy Futures Lab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,599.0,485.0,767.0,976.0,1195.0
Design Engineering (Dyson School of Design Eng),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3349.0,4685.0,5016.0,5249.0,5472.0
UK Energy Research Centre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,599.0,171.0,0.0
Data Science Institute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0
Climate KIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2156.0,2711.0,3507.0,3530.0,4.0,120.0,504.0,408.0,553.0,27.0
Institute of  Global  Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2802.0,1140.0,1863.0,1683.0,542.0,1664.0,555.0,725.0,862.0,831.0,803.0
Department of Brain Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20816.0,20405.0
Department of Immunology and Inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12017.0,11396.0
Department of Infectious Disease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38408.0,43441.0
"Department of Metabolism, Digestion and Reproduction",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35978.0,31728.0
Business School (Include Tanaka after 2002),6019.0,7652.0,8791.0,8887.0,10006.0,11827.0,15090.0,17326.0,18025.0,20929.0,25102.0,25534.0,27479.0,31074.0,33396.0,36148.0,41297.0,47294.0,50146.0,52944.0
Other,989.0,774.0,698.0,1455.0,1418.0,1666.0,1518.0,1028.0,1704.0,1192.0,1388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Science Communication,0.0,272.0,299.0,352.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humanities,0.0,0.0,0.0,0.0,0.0,1941.0,2582.0,2891.0,2939.0,2725.0,2887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Non-Faculty (after 2013),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4542.0,4735.0,4698.0,7834.0,6242.0,4408.0,6825.0,5230.0,5226.0